Country,GDP Per Capita (USD),Population,Males Per 100 Females,% Under 18,% 18 And Over,Incarcerated Per 100k,Firepower Index,Corporation Tax (%)
Hungary,18428.03,9605074,92.18,19.74,80.26,192,1.0429,9.0
Iceland,76350.46,382003,105.03,23.7,76.3,35,3.4013,20.0
India,2347.45,1425423212,106.62,30.91,69.09,41,0.1346,15.0
Indonesia,4730.83,278830529,100.94,30.71,69.29,96,0.2582,22.0
"Iran, Islamic Rep.",4721.2,89524246,103.49,28.75,71.25,228,0.3199,25.0
Iraq,6520.73,44070551,100.58,42.31,57.69,179,0.8115,15.0
Ireland,105190.69,5212836,98.07,24.69,75.31,91,2.0661,12.5
Isle of Man,88328.55,84132,98.16,19.81,80.19,153,N/A,0.0
Israel,54949.62,9557500,98.99,32.6,67.4,217,0.2707,23.0
Italy,35653.9,59013667,95.41,17.48,82.52,105,0.2211,27.9
Jamaica,6626.48,2839144,97.97,25.41,74.59,125,N/A,33.3
Japan,34065.64,125124989,95.4,16.56,83.44,33,0.1876,29.74
Jordan,4332.25,11256263,106.77,36.97,63.03,185,1.5581,20.0
Kazakhstan,11255.34,20034609,94.77,34.62,65.38,184,1.0433,20.0
Kenya,2109.56,54252461,98.93,42.8,57.2,103,1.8588,30.0
Kiribati,2069.77,130469,93.76,39.95,60.05,113,N/A,35.0
"Korea, Rep.",34822.4,51672569,99.61,17.1,82.9,N/A,N/A,N/A
Kosovo,5290.95,1768096,96.82,27.27,72.73,99,3.8041,0.0
Kuwait,39981.77,4589643,156.77,25.46,74.54,101,1.7161,7.5
Kyrgyz Republic,1739.72,6975220,97.82,37.87,62.13,N/A,N/A,N/A
Lao PDR,2046.4,7559007,101.05,36.09,63.91,N/A,N/A,N/A
Latvia,20221.1,1879383,86.15,20.97,79.03,175,2.2316,0.0
Lebanon,3654.36,5744489,94.5,32.25,67.75,141,2.6521,17.0
Lesotho,1030.13,2286110,94.87,40.17,59.83,104,N/A,25.0
Liberia,744.62,5373294,99.57,44.99,55.01,55,3.9275,25.0
Libya,5986.64,7223805,103.49,33.85,66.15,269,1.7872,24.5
Liechtenstein,188055.0,39493,98.6,19.68,80.32,35,N/A,12.5
Lithuania,25085.78,2831639,88.96,20.26,79.74,156,1.8949,15.0
Luxembourg,123719.66,653103,101.38,21.42,78.58,89,2.4429,28.69
"Macao SAR, China",36806.89,677300,86.05,20.11,79.89,119,0.0919,25.0
Madagascar,503.51,30437261,100.64,44.42,55.58,101,3.0381,20.0
Malawi,604.27,20568728,95.19,46.37,53.63,76,N/A,30.0
Malaysia,11754.57,34695493,110.39,28.43,71.57,241,0.7379,18.0
Maldives,11786.02,524106,164.81,26.43,73.57,314,N/A,8.0
Mali,976.91,23072640,101.89,50.82,49.18,40,2.2598,30.0
Malta,35638.89,531113,107.95,18.61,81.39,119,N/A,35.0
Marshall Islands,6455.66,40077,105.13,39.52,60.48,66,N/A,0.8
Mauritania,1960.35,4875637,96.02,47.63,52.37,57,2.7919,25.0
Mauritius,10246.5,1262523,100.29,21.25,78.75,215,N/A,15.0
Mexico,11405.79,128613117,94.25,30.67,69.33,174,0.6401,30.0
"Micronesia, Fed. Sts.",3710.12,112114,98.87,37.29,62.71,127,N/A,21.0
"Middle East, North Africa, Afghanistan & Pakistan",6430.54,782349366,106.02,37.89,62.11,45,0.2626,20.0
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",3010.2,711465045,102.72,38.69,61.31,45,0.2626,20.0
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",3015.76,716508657,102.69,38.72,61.28,45,0.2626,20.0
Moldova,5744.3,2528654,85.32,25.32,74.68,235,3.6225,12.0
Monaco,226052.0,38931,96.03,16.9,83.1,81,N/A,0.0
Mongolia,4993.51,3433748,99.73,37.88,62.12,183,1.9987,10.0
Montenegro,10024.54,623591,92.73,23.62,76.38,170,2.9782,9.0
Morocco,3463.14,37329064,101.87,31.69,68.31,267,1.0368,10.0
Mozambique,578.25,32656246,94.01,49.14,50.86,63,1.9769,32.0
Myanmar,1158.05,53756787,99.27,30.2,69.8,183,0.6265,22.0
Namibia,4349.8,2889662,95.41,42.19,57.81,318,2.7414,32.0
Nauru,12911.91,11801,103.78,43.06,56.94,345,N/A,25.0
Nepal,1385.91,29715436,93.33,34.13,65.87,90,2.8037,30.0
Netherlands,59123.32,17700982,98.62,20.53,79.47,64,0.6142,25.0
New Caledonia,33516.36,287123,97.29,27.16,72.84,190,N/A,30.0
New Zealand,49099.71,5081700,98.64,23.83,76.17,181,1.9258,28.0
Nicaragua,2322.89,6730654,96.71,34.86,65.14,332,2.5894,30.0
Niger,609.75,25311973,103.14,51.34,48.66,40,2.6867,30.0
Nigeria,2899.16,223150896,102.19,46.36,53.64,37,0.6097,30.0
North Macedonia,7606.24,1831712,94.69,22.46,77.54,140,2.4956,10.0
Northern Mariana Islands,23785.75,46078,111.25,28.49,71.51,304,N/A,N/A
Norway,109269.52,5457127,101.69,21.98,78.02,55,0.6679,22.0
Oman,23223.58,4730226,160.11,31.91,68.09,46,1.8823,15.0
Pakistan,1538.32,243700667,103.71,42.0,58.0,38,0.2626,1.25
Palau,13729.76,17759,117.1,24.48,75.52,367,N/A,0.0
Panama,17378.61,4400773,100.07,30.92,69.08,522,3.5011,25.0
Papua New Guinea,3102.29,10203169,106.29,39.13,60.87,57,N/A,30.0
Paraguay,6205.63,6760464,100.67,34.11,65.89,239,1.7974,10.0
Peru,7350.63,33475438,98.98,30.08,69.92,285,0.8827,30.0
Philippines,3548.07,113964338,99.53,34.58,65.42,162,0.6993,30.0
Poland,18891.21,36821749,94.05,20.58,79.42,194,0.3891,19.0
Portugal,24620.52,10434332,90.98,18.07,81.93,115,0.6659,20.0
Puerto Rico (US),35353.68,3220137,89.23,17.47,82.53,N/A,N/A,20.0
Qatar,88701.47,2657333,255.2,21.92,78.08,69,1.4096,10.0
Romania,15503.55,19048502,93.93,21.17,78.83,126,0.9558,16.0
Russian Federation,15619.61,144236933,86.76,22.99,77.01,300,0.0791,20.0
Rwanda,975.47,13651030,94.97,42.81,57.19,637,N/A,30.0
Samoa,4132.45,215261,101.29,43.24,56.76,179,N/A,27.0
San Marino,54190.84,33755,96.13,18.32,81.68,3,N/A,17.0
Sao Tome and Principe,2389.74,226305,99.04,43.38,56.62,129,N/A,N/A
Saudi Arabia,38510.23,32175224,154.68,30.46,69.54,207,0.4473,2.5
Senegal,1574.03,17651103,103.47,43.74,56.26,69,2.8925,25.0
Serbia,10024.82,6664449,90.75,19.44,80.56,162,1.2938,15.0
Seychelles,16836.67,119878,122.64,26.03,73.97,393,N/A,33.0
Sierra Leone,860.37,8276807,99.45,43.6,56.4,52,3.9201,25.0
Singapore,90299.07,5637022,106.94,18.03,81.97,156,0.5272,17.0
Sint Maarten (Dutch part),37793.13,42139,95.34,21.72,78.28,N/A,N/A,34.5
Slovak Republic,21317.79,5431752,95.43,21.29,78.71,N/A,N/A,N/A
Slovenia,28360.3,2112076,100.79,20.22,79.78,86,1.9404,19.0
Solomon Islands,1877.78,781066,104.68,42.43,57.57,79,N/A,30.0
"Somalia, Fed. Rep.",573.14,17801897,100.42,50.87,49.13,40,2.2598,30.0
South Africa,6534.25,62378410,94.49,31.71,68.29,258,0.6843,28.0
Spain,30319.5,47786102,96.48,18.89,81.11,117,0.3247,25.0
Sri Lanka,3342.64,22181000,93.8,27.96,72.04,131,1.3822,15.0
St. Kitts and Nevis,21011.57,46709,92.27,24.27,75.73,296,N/A,N/A
St. Lucia,13103.82,178781,97.88,24.01,75.99,308,N/A,N/A
St. Martin (French part),21668.38,28870,88.25,25.98,74.02,N/A,N/A,N/A
St. Vincent and the Grenadines,9693.56,102046,104.31,27.25,72.75,353,N/A,N/A
Sudan,1046.24,49383346,98.46,45.39,54.61,52,1.3563,5.0
Suriname,6084.44,623164,100.12,31.57,68.43,185,4.0538,36.0
Sweden,54836.89,10486941,101.39,22.46,77.54,96,0.4834,20.6
Switzerland,94394.51,8777088,98.61,20.33,79.67,77,0.8396,17.92
Syrian Arab Republic,1051.67,22462173,99.95,37.01,62.99,60,1.8861,22.0
Tajikistan,1052.18,10182222,96.32,41.39,58.61,141,2.1749,13.0
Tanzania,1207.52,64711821,98.22,47.24,52.76,50,1.9111,30.0
